,abstract,headline,pub_date
0,"about a fifth of the nation’s economy depends on the vacation industry. before the pandemic, the country was one of the world’s top destinations, drawing nearly 40 million visitors in 2019.",thailand reopens to tourists from 63 countries without requiring quarantine.,2021-11-01 12:26:03+00:00
1,"as some try to lure audiences back with short programs, the metropolitan opera is staging its longest work: wagner’s “die meistersinger.”",a 6-hour opera in a pandemic? the met goes for it.,2021-11-01 14:14:46+00:00
2,"while big companies wield considerable power, covid’s economic disruption has given workers new leverage, contributing to a recent upturn in strikes.",how the pandemic has added to labor unrest,2021-11-01 15:06:46+00:00
3,"the labor department has completed a draft of an emergency standard, which is under review. when it is released, a flurry of corporate vaccine mandates is expected to follow.",the biden administration will publish vaccine mandate rules ‘in the coming days.’,2021-11-01 16:29:36+00:00
4,"after months of production delays, this is the first vaccine authorization for novavax and its manufacturing partner, the serum institute of india.","the novavax vaccine, backed by operation warp speed, has won its first authorization — in indonesia.",2021-11-01 16:40:48+00:00
5,"the city can require officers to report their vaccination status and be tested, but a dec. 31 deadline to be vaccinated cannot be enforced until an arbitrator weighs in, the judge ruled.",a judge blocks chicago from enforcing its vaccine mandate for police officers.,2021-11-01 19:24:11+00:00
6,"the latest data is reassuring. myocarditis remains very uncommon, and it is almost always mild and temporary. the heart risk from covid-19 itself is far greater.",how often do covid vaccines cause heart problems in kids?,2021-11-01 21:44:28+00:00
7,a reporter in south africa shares her experience with the country’s battle with aids.,coronavirus briefing: what happened today,2021-11-01 21:49:44+00:00
8,it’s hard to imagine a worse case for defending personal choice.,"no, vaccine mandates aren’t an attack on freedom",2021-11-01 23:22:38+00:00
9,"the actress, who played the titular character in the 1992 film “buffy the vampire slayer,” said she had pneumonia.","kristy swanson, actress and vaccine skeptic, is hospitalized with covid.",2021-11-02 00:02:48+00:00
10,"in sarah hall’s novel “burntcoat,” a fictionalized pandemic spurs a sculptor to productive heights.","an artist in lockdown, forged by catastrophe",2021-11-02 09:00:08+00:00
11,"during día de muertos, or day of the dead, we remember those who have been lost.",the unequal toll of covid-19 in california,2021-11-02 12:59:45+00:00
12,about a ross douthat column suggesting that liberal states are being too stringent and should move toward normalcy. also: women and finances; aging prisoners.,how blue and red states deal with covid,2021-11-02 15:12:53+00:00
13,"the analysis by penn state and iowa researchers strongly indicates that deer are getting the virus from humans, worrying experts about a deep wild reservoir for the virus.","widespread coronavirus infection found in iowa deer, new study says",2021-11-02 16:13:52+00:00
14,"for two years in a row, the company is on track to bring in more single-year revenue from the shots than any other medical product in history.",pfizer’s covid vaccine could break sales records again next year.,2021-11-02 17:41:12+00:00
15,the reasons men are more likely than women to die of or become severely ill with covid-19 remain unclear.,an unsolved mystery: why do more men die of covid-19?,2021-11-02 19:00:09+00:00
16,"the reopening comes just ahead of the holiday season, clearing the way for tourists and other nonessential travelers after about 19 months of border closures",u.s. officials urge travelers arriving by land to have travel and vaccine documents ready.,2021-11-02 19:02:01+00:00
