,date_only,Abstract Polarity
8,2021-01-01,0.5
40,2021-01-02,-1.0
41,2021-01-03,0.25
66,2021-01-04,0.3181818181818182
77,2021-01-05,0.5
112,2021-01-06,0.5
123,2021-01-07,0.5
142,2021-01-08,-1.0
165,2021-01-09,0.3333333333333333
184,2021-01-10,0.6499999999999999
186,2021-01-11,0.9
223,2021-01-12,0.5
244,2021-01-13,0.5
264,2021-01-14,0.5
303,2021-01-15,0.6
326,2021-01-16,0.5
336,2021-01-17,-0.2916666666666667
345,2021-01-18,-0.4
365,2021-01-19,0.5
400,2021-01-20,-1.0
441,2021-01-21,0.5121212121212121
455,2021-01-22,0.6
496,2021-01-23,-0.3625
504,2021-01-24,0.24545454545454545
516,2021-01-25,0.8
574,2021-01-26,1.0
590,2021-01-27,-1.0
2557,2021-01-28,0.8
2576,2021-01-29,0.5
2618,2021-01-30,-0.6458333333333334
2640,2021-01-31,0.25
2648,2021-02-01,-0.5777777777777778
2689,2021-02-02,0.55
2708,2021-02-03,-0.4318181818181818
2735,2021-02-04,0.8
2751,2021-02-05,0.5
2775,2021-02-06,0.5
2796,2021-02-07,0.3125
2818,2021-02-08,0.35
2835,2021-02-09,0.5
2863,2021-02-10,-0.45
2886,2021-02-11,0.44999999999999996
2902,2021-02-12,0.5
2956,2021-02-13,0.375
2962,2021-02-14,0.5
2967,2021-02-15,0.5
2974,2021-02-16,0.5
2999,2021-02-17,-0.75
3023,2021-02-18,0.225
3050,2021-02-19,0.7
3088,2021-02-20,-0.75
3094,2021-02-21,0.4
3121,2021-02-22,0.55
3150,2021-02-23,0.7
3164,2021-02-24,-0.75
3221,2021-02-25,0.5633333333333334
3229,2021-02-26,0.5
3266,2021-02-27,0.4583333333333333
3275,2021-02-28,0.8
3287,2021-03-01,-0.75
3322,2021-03-02,-0.8
3337,2021-03-03,0.5
3364,2021-03-04,0.5
3397,2021-03-05,0.65
3423,2021-03-06,-0.5
3449,2021-03-07,-0.4
3466,2021-03-08,0.7666666666666666
3474,2021-03-09,0.5
3500,2021-03-10,-0.8
3527,2021-03-11,0.5
3568,2021-03-12,0.7
3581,2021-03-13,0.5
3603,2021-03-14,0.5
3620,2021-03-15,-0.7
3640,2021-03-16,0.5
3667,2021-03-17,0.75
3699,2021-03-18,-0.4
3718,2021-03-19,0.6499999999999999
3749,2021-03-20,0.4
3768,2021-03-21,0.65
3792,2021-03-22,-0.6999999999999998
3807,2021-03-23,-0.5
3844,2021-03-24,0.6
3883,2021-03-25,0.5
3885,2021-03-26,0.5
3914,2021-03-27,0.5
3926,2021-03-28,0.3
3948,2021-03-29,0.5
3952,2021-03-30,0.5
3990,2021-03-31,0.8
4026,2021-04-01,0.5
4035,2021-04-02,0.5
4074,2021-04-03,0.25
4079,2021-04-04,0.5333333333333333
4100,2021-04-05,0.5
4125,2021-04-06,0.8
4133,2021-04-07,0.5
4166,2021-04-08,-0.7
4170,2021-04-09,-0.6
4209,2021-04-10,0.7
4216,2021-04-11,0.6777777777777777
4238,2021-04-12,0.6
4269,2021-04-13,0.4333333333333333
4295,2021-04-14,0.5
4321,2021-04-15,0.6
4338,2021-04-16,-0.5333333333333333
4356,2021-04-17,0.4375
4369,2021-04-18,0.5
4397,2021-04-19,0.6499999999999999
4402,2021-04-20,0.5
4421,2021-04-21,0.45
4430,2021-04-22,0.7
4461,2021-04-23,0.5
4480,2021-04-24,0.5
4493,2021-04-25,0.5
4521,2021-04-26,0.8
4533,2021-04-27,-0.6
4558,2021-04-28,-0.4
4596,2021-04-29,0.7
4610,2021-04-30,0.6
4628,2021-05-01,-0.5
4638,2021-05-02,0.8
4658,2021-05-03,0.6
4677,2021-05-04,0.4666666666666666
4692,2021-05-05,0.5
4739,2021-05-06,0.45833333333333337
4773,2021-05-07,0.5
4783,2021-05-08,0.5
4791,2021-05-09,0.5
4812,2021-05-10,0.65
4819,2021-05-11,-0.75
4849,2021-05-12,0.5
4861,2021-05-13,-0.39999999999999997
4901,2021-05-14,0.44999999999999996
4906,2021-05-15,0.5
4919,2021-05-16,-0.5
