,Unnamed: 0,date_only,Abstract Polarity,day_of_week
0,8,2021-01-01,0.5,Friday
1,40,2021-01-02,-1.0,Saturday
2,41,2021-01-03,0.25,Sunday
3,66,2021-01-04,0.3181818181818182,Monday
4,77,2021-01-05,0.5,Tuesday
5,112,2021-01-06,0.5,Wednesday
6,123,2021-01-07,0.5,Thursday
7,142,2021-01-08,-1.0,Friday
8,165,2021-01-09,0.3333333333333333,Saturday
9,184,2021-01-10,0.6499999999999999,Sunday
10,186,2021-01-11,0.9,Monday
11,223,2021-01-12,0.5,Tuesday
12,244,2021-01-13,0.5,Wednesday
13,264,2021-01-14,0.5,Thursday
14,303,2021-01-15,0.6,Friday
15,326,2021-01-16,0.5,Saturday
16,336,2021-01-17,-0.2916666666666667,Sunday
17,345,2021-01-18,-0.4,Monday
18,365,2021-01-19,0.5,Tuesday
19,400,2021-01-20,-1.0,Wednesday
20,441,2021-01-21,0.5121212121212121,Thursday
21,455,2021-01-22,0.6,Friday
22,496,2021-01-23,-0.3625,Saturday
23,504,2021-01-24,0.2454545454545454,Sunday
24,516,2021-01-25,0.8,Monday
25,574,2021-01-26,1.0,Tuesday
26,590,2021-01-27,-1.0,Wednesday
27,2557,2021-01-28,0.8,Thursday
28,2576,2021-01-29,0.5,Friday
29,2618,2021-01-30,-0.6458333333333334,Saturday
30,2640,2021-01-31,0.25,Sunday
31,2648,2021-02-01,-0.5777777777777778,Monday
32,2689,2021-02-02,0.55,Tuesday
33,2708,2021-02-03,-0.4318181818181818,Wednesday
34,2735,2021-02-04,0.8,Thursday
35,2751,2021-02-05,0.5,Friday
36,2775,2021-02-06,0.5,Saturday
37,2796,2021-02-07,0.3125,Sunday
38,2818,2021-02-08,0.35,Monday
39,2835,2021-02-09,0.5,Tuesday
40,2863,2021-02-10,-0.45,Wednesday
41,2886,2021-02-11,0.4499999999999999,Thursday
42,2902,2021-02-12,0.5,Friday
43,2956,2021-02-13,0.375,Saturday
44,2962,2021-02-14,0.5,Sunday
45,2967,2021-02-15,0.5,Monday
46,2974,2021-02-16,0.5,Tuesday
47,2999,2021-02-17,-0.75,Wednesday
48,3023,2021-02-18,0.225,Thursday
49,3050,2021-02-19,0.7,Friday
50,3088,2021-02-20,-0.75,Saturday
51,3094,2021-02-21,0.4,Sunday
52,3121,2021-02-22,0.55,Monday
53,3150,2021-02-23,0.7,Tuesday
54,3164,2021-02-24,-0.75,Wednesday
55,3221,2021-02-25,0.5633333333333334,Thursday
56,3229,2021-02-26,0.5,Friday
57,3266,2021-02-27,0.4583333333333333,Saturday
58,3275,2021-02-28,0.8,Sunday
59,3287,2021-03-01,-0.75,Monday
60,3322,2021-03-02,-0.8,Tuesday
61,3337,2021-03-03,0.5,Wednesday
62,3364,2021-03-04,0.5,Thursday
63,3397,2021-03-05,0.65,Friday
64,3423,2021-03-06,-0.5,Saturday
65,3449,2021-03-07,-0.4,Sunday
66,3466,2021-03-08,0.7666666666666666,Monday
67,3474,2021-03-09,0.5,Tuesday
68,3500,2021-03-10,-0.8,Wednesday
69,3527,2021-03-11,0.5,Thursday
70,3568,2021-03-12,0.7,Friday
71,3581,2021-03-13,0.5,Saturday
72,3603,2021-03-14,0.5,Sunday
73,3620,2021-03-15,-0.7,Monday
74,3640,2021-03-16,0.5,Tuesday
75,3667,2021-03-17,0.75,Wednesday
76,3699,2021-03-18,-0.4,Thursday
77,3718,2021-03-19,0.6499999999999999,Friday
78,3749,2021-03-20,0.4,Saturday
79,3768,2021-03-21,0.65,Sunday
80,3792,2021-03-22,-0.6999999999999998,Monday
81,3807,2021-03-23,-0.5,Tuesday
82,3844,2021-03-24,0.6,Wednesday
83,3883,2021-03-25,0.5,Thursday
84,3885,2021-03-26,0.5,Friday
85,3914,2021-03-27,0.5,Saturday
86,3926,2021-03-28,0.3,Sunday
87,3948,2021-03-29,0.5,Monday
88,3952,2021-03-30,0.5,Tuesday
89,3990,2021-03-31,0.8,Wednesday
90,4026,2021-04-01,0.5,Thursday
91,4035,2021-04-02,0.5,Friday
92,4074,2021-04-03,0.25,Saturday
93,4079,2021-04-04,0.5333333333333333,Sunday
94,4100,2021-04-05,0.5,Monday
95,4125,2021-04-06,0.8,Tuesday
96,4133,2021-04-07,0.5,Wednesday
97,4166,2021-04-08,-0.7,Thursday
98,4170,2021-04-09,-0.6,Friday
99,4209,2021-04-10,0.7,Saturday
100,4216,2021-04-11,0.6777777777777777,Sunday
101,4238,2021-04-12,0.6,Monday
102,4269,2021-04-13,0.4333333333333333,Tuesday
103,4295,2021-04-14,0.5,Wednesday
104,4321,2021-04-15,0.6,Thursday
105,4338,2021-04-16,-0.5333333333333333,Friday
106,4356,2021-04-17,0.4375,Saturday
107,4369,2021-04-18,0.5,Sunday
108,4397,2021-04-19,0.6499999999999999,Monday
109,4402,2021-04-20,0.5,Tuesday
110,4421,2021-04-21,0.45,Wednesday
111,4430,2021-04-22,0.7,Thursday
112,4461,2021-04-23,0.5,Friday
113,4480,2021-04-24,0.5,Saturday
114,4493,2021-04-25,0.5,Sunday
115,4521,2021-04-26,0.8,Monday
116,4533,2021-04-27,-0.6,Tuesday
117,4558,2021-04-28,-0.4,Wednesday
