,abstract,headline,pub_date
0,"a highly contagious coronavirus variant first identified in britain has been discovered in florida, health officials said on thursday.",florida health officials detect the state’s first identified coronavirus variant case.,2021-01-01 03:44:59+00:00
1,"with a new variant of the virus emerging elsewhere in the country, it’s crucial to vaccinate new yorkers quickly. but so far, only about 88,000 have received the shots.",virus numbers are surging. why is new york’s vaccine rollout sluggish?,2021-01-01 08:00:06+00:00
2,test your knowledge of this week’s health news.,"weekly health quiz: a new coronavirus variant, diet guidelines and really short workouts",2021-01-01 10:00:02+00:00
3,our 7-day well challenge will show you how to build on the healthy habits you learned during pandemic life.,"for a healthier 2021, keep the best habits of a very bad year",2021-01-01 10:00:13+00:00
4,"the coronavirus has disrupted supply chains in unpredictable ways, creating long waits for basic items like dishwashers and love seats.",furnishing your home in a pandemic will require patience,2021-01-01 13:00:09+00:00
5,"many gave drivers a break in the spring. with accident claims remaining below normal, consumer advocates are calling for another one.","pandemic driving is still down, but will insurers grant more relief?",2021-01-01 14:00:07+00:00
6,single-family houses and penthouses remained in demand in december as buyers sought out homes with more personal space.,top sales show how pandemic continues to influence the market,2021-01-01 14:00:08+00:00
7,"the nation’s courts have reacted nimbly to the coronavirus pandemic, chief justice john g. roberts jr. wrote in his year-end report on the state of the federal judiciary.",chief justice john roberts commends the courts’ responses to the pandemic.,2021-01-01 14:50:40+00:00
8,the utah senator called it “as incomprehensible as it is inexcusable” that “comprehensive vaccination plans have not been developed at the federal level and sent to the states as models.”,"the u.s. enters 2021 playing catch-up with its vaccine distribution, prompting sharp words from mitt romney.",2021-01-01 14:50:40+00:00
9,"zakaria discusses “ten lessons for a post-pandemic world,” and margaret macmillan talks about “war: how conflict shaped us.”",fareed zakaria on life after the pandemic,2021-01-01 16:01:31+00:00
10,"west coast wellness elites think kambo, an amazonian frog poison drug, is helping them purge “toxins” from their lives.",can you poison your way to good health?,2021-01-01 16:41:09+00:00
11,states and counties are finding it hard to keep jails and prisons open as the virus ravages both prisoners and staff members. but transferring inmates can spur new outbreaks.,states are shutting down prisons as guards are crippled by covid-19,2021-01-01 19:22:31+00:00
12,"badly hit by the coronavirus, israel has distributed the first of two vaccine doses to more than 10 percent of its population. prime minister netanyahu is leading the charge, bolstering his own battered image along the way.",how israel became a world leader in vaccinating against covid-19,2021-01-01 20:44:01+00:00
13,"dr. anthony s. fauci, the nation’s top infectious disease expert, told cnn on friday that the united states would not follow britain’s lead in front-loading first vaccine injections, potentially delaying the administration of second doses.",dr. fauci advises against the british approach of delaying a second dose of vaccine.,2021-01-01 21:30:51+00:00
14,"quotation of the day for saturday, january 2, 2021.","quotation of the day: sudden sisterhood of covid widows, united in unthinkable loss",2021-01-02 02:51:05+00:00
15,he died after two weeks in a richmond hospital.,"a virginia state senator, ben chafin, has died from complications of covid-19.",2021-01-02 03:14:32+00:00
16,"alvin kamara, the star running back for the new orleans saints and one of the best players in the n.f.l. this season, has been placed on the n.f.l.’s covid-19 reserve list, a move that will keep him out of the team’s regular-season finale on sunday and that may jeopardize his chances to appear in the team’s first game of the playoffs.","the new orleans saints’ star running back, alvin kamara, is placed on the n.f.l.’s covid reserve list.",2021-01-02 04:00:01+00:00
17,the island’s success against the coronavirus has created a sinking feeling for many residents: how much longer can their good fortune last?,how taiwan plans to stay (mostly) covid-free,2021-01-02 08:00:10+00:00
18,"hospitals are at capacity and coronavirus cases are surging, but many foreigners, especially americans, are heading to the mexican capital — some intending to stay awhile.","fleeing lockdown, americans are flocking to mexico city",2021-01-02 13:15:27+00:00
19,the high-stakes senate contests come after months of tumult and activism in a city often seen as both resolutely southern and somehow distinct from the rest of the region.,"‘year of the reveal’: runoffs follow pandemic, protests and a test of atlanta’s promise",2021-01-02 14:41:57+00:00
20,"as the coronavirus claims more victims, a once-rare diagnosis is receiving new attention from scientists, who fear it may affect nutrition and mental health.",some covid survivors haunted by loss of smell and taste,2021-01-02 15:26:25+00:00
21,"an expert coronavirus panel in india has recommended authorizing the vaccine created by astrazeneca and oxford university, as well as a local candidate, for emergency use.",india nears approval for two vaccines.,2021-01-02 15:34:45+00:00
22,we put that question to readers and received more than 800 responses. here are some of the highlights.,what’s the first thing you will do when the pandemic ends?,2021-01-02 16:03:06+00:00
23,"los angeles county, already in the throes of a devastating surge in coronavirus cases after thanksgiving travel and gatherings, is being hit with a spike from christmas festivities.",the los angeles area is hit with a christmas coronavirus surge.,2021-01-02 22:52:54+00:00
24,"the approvals, which include a shot developed by bharat biotech, an indian pharmaceutical company, begin a vast campaign to inoculate the hard-hit nation’s 1.3 billion people.",india approves oxford-astrazeneca covid-19 vaccine and 1 other,2021-01-03 06:01:07+00:00
25,"faced with a budget shortfall, the indian health service reduced a federally funded hospital in new mexico to a clinic as coronavirus cases continued to rise in the state.",native americans reliant on hospital feel abandoned by u.s. during pandemic,2021-01-03 10:00:09+00:00
26,oregon earmarked $62 million to explicitly benefit black individuals and business owners. now some of the money is in limbo after lawsuits alleging racial discrimination.,a covid-19 relief fund was only for black residents. then came the lawsuits.,2021-01-03 10:00:14+00:00
27,"students and recent graduates struggle to get hired as the oil industry cuts tens of thousands of jobs, some of which may never come back.",‘a slap in the face’: the pandemic disrupts young oil careers,2021-01-03 10:00:15+00:00
28,"plenty of numbers can quantify the way the pandemic and the resulting recession have battered the united states: at least 7.8 million people have fallen into poverty, the biggest plunge in six decades; 85 million americans say they have had trouble paying basic household expenses, including food and rent.","‘losing our grip’: in some neighborhoods, the devastation of the pandemic goes far beyond the disease itself.",2021-01-03 12:13:02+00:00
29,"the pope delivered his weekly address from a vatican library, because the plaza he usually speaks to has been closed to the public. ",pope francis chides those traveling abroad to escape coronavirus lockdowns.,2021-01-03 16:44:55+00:00
30,"a reader writes: “ask your kids: what can bored privileged teens, with broadband access and computers, do to help others?”",an empathy lesson for teens amid a pandemic,2021-01-03 19:30:04+00:00
31,"gov. andrew m. cuomo of new york said he would not be vaccinated for covid-19 until vaccines were widely available for his age group in black, latino and poor new york communities.",cuomo won’t get vaccine until it’s available for those hardest-hit,2021-01-03 20:05:30+00:00
32,a holocaust survivor reflects on what it means to survive the pandemic.,the holocaust stole my youth. covid-19 is stealing my last years.,2021-01-03 20:40:17+00:00
33,"mass vaccination would be a challenge under any circumstances. but doing it during an out-of-control pandemic is straining states, cities and health departments.","as the virus spikes, vaccine distribution is one more hurdle for states",2021-01-03 23:16:21+00:00
34,here’s what you need to know.,"britain, trump, covid-19: your monday briefing",2021-01-04 03:12:32+00:00
35,"substance-abuse centers are shutting and relying on virtual programming, just as more and more people turn to drugs and alcohol.",‘relapsing left and right’: trying to overcome addiction in a pandemic,2021-01-04 08:00:10+00:00
36,"as governments around the world rush to vaccinate their citizens, scientists and policymakers are debating whether to reserve the second doses everyone will need, or give as many people as possible just one shot now — potentially at the expense of giving second doses on schedule. ","in europe, more countries delay second vaccine doses or mull plans to do so.",2021-01-04 09:59:13+00:00
37,"“it’s been known for a long time that coconut oil raises blood levels of artery-damaging ldl cholesterol,” one expert said.",does coconut oil deserve its health halo?,2021-01-04 10:00:08+00:00
38,"addiction is often referred to as a disease of isolation, and overcoming that challenge has only become more difficult during a pandemic that has forced people indoors — in some cases to live lonely lives, with drugs and alcohol as a way to cope with the stress.",the pandemic has hit addiction recovery hard.,2021-01-04 10:00:38+00:00
39,"so far, most vaccinations have been given on weekdays, and the sense of urgency that new yorkers expected has not yet emerged.",vaccine rolls out slowly as virus surges,2021-01-04 10:15:56+00:00
40,u.s. officials want the wikileaks founder to face charges of violating the espionage act. but a judge in london ruled that he was at extreme risk of suicide.,"u.k. judge blocks assange’s extradition to u.s., citing mental health",2021-01-04 11:03:01+00:00
41,"jerome h. powell, the 67-year-old chair of the federal reserve, will face pressure from all sides in 2021, and he could find himself auditioning for his own job. his term expires in early 2022, which means that president-elect joseph r. biden jr. will choose whether to renominate him.",jerome powell’s future as chair of the fed could be affected by its pandemic response.,2021-01-04 11:50:07+00:00
42,steve max usually spends his winters telling big crowds at basketball arenas to put their hands up and to touch their shoulders and to cover their eyes. he travels the country entertaining fans at halftime.,the n.b.a.’s halftime performers feel the strain of the pandemic.,2021-01-04 15:59:30+00:00
43,"coronavirus will not kill the office, dror poleg writes for the upshot. ",post-covid offices could be more dynamic than ever.,2021-01-04 16:27:28+00:00
44,"surveillance and censorship bolster beijing’s uncompromising grip on power. but in the country’s cities and streets, people have resumed normal lives.","in a topsy-turvy pandemic world, china offers its version of freedom",2021-01-04 17:10:30+00:00
45,using inactivated coronaviruses to train the immune system.,how bharat biotech’s vaccine works,2021-01-04 17:27:59+00:00
46,"prime minister boris johnson closed schools and declared a national lockdown in england, following on the heels of scotland.",britain re-enters sweeping lockdown as virus variant rages,2021-01-04 18:16:56+00:00
