,abstract,pub_date
0,"the united states recorded its 20 millionth case since the start of the coronavirus pandemic on thursday, surpassing a grim milestone just as the prospects for getting the virus under control quickly in the new year appeared to dim.",2021-01-01 01:28:22+00:00
1,"throughout the coronavirus pandemic, well-attended parties have mostly been shut down across los angeles, which has led to a culture of secrecy on social media.",2021-01-01 03:08:25+00:00
2,"a highly contagious coronavirus variant first identified in britain has been discovered in florida, health officials said on thursday.",2021-01-01 03:44:59+00:00
3,"the pandemic caused the cancellation of the rose parade, an institution since 1890, for the first time since world war ii.",2021-01-01 04:24:17+00:00
4,"with a new variant of the virus emerging elsewhere in the country, it’s crucial to vaccinate new yorkers quickly. but so far, only about 88,000 have received the shots.",2021-01-01 08:00:06+00:00
5,test your knowledge of this week’s health news.,2021-01-01 10:00:02+00:00
6,"maybe at another time in human history i would have cared about the health benefits, but at this point, i’m like, what does “good for you” even mean?",2021-01-01 10:00:06+00:00
7,"my toddler son and i spoke about the trees as people — and indeed, for the first month of quarantine, they were the only people besides us he got to see up close.",2021-01-01 10:00:12+00:00
8,our 7-day well challenge will show you how to build on the healthy habits you learned during pandemic life.,2021-01-01 10:00:13+00:00
9,"no visitors. no friends at the dining table. neighbors dying without notice. but many older adults have proved resilient during the pandemic, a phenomenon known as “crisis competence.”",2021-01-01 10:00:13+00:00
10,"to care for covid-19 patients and their families, seigan ed glassing reserves one day of the week to care for himself.",2021-01-01 10:00:21+00:00
11,"more than 400,000 new yorkers left the city at the beginning of the pandemic. many have returned; all have re-evaluated their relationship with the city.",2021-01-01 10:00:24+00:00
12,tens of thousands of new yorkers left the city when the pandemic struck and spent months living elsewhere. what did they learn?,2021-01-01 10:00:25+00:00
13,"the coronavirus has disrupted supply chains in unpredictable ways, creating long waits for basic items like dishwashers and love seats.",2021-01-01 13:00:09+00:00
14,"denese rankin, a 55-year-old retired bookkeeper and receptionist in castleberry, ala., did not want the covid-19 vaccine. her opinion toward the vaccine was like many black, rural americans: the vaccine had come about too quickly to be safe. ",2021-01-01 14:50:40+00:00
15,"the nation’s courts have reacted nimbly to the coronavirus pandemic, chief justice john g. roberts jr. wrote in his year-end report on the state of the federal judiciary.",2021-01-01 14:50:40+00:00
16,"as the coronavirus invades locker rooms and postpones matches, soccer needs to face up to a potential worst-case scenario.",2021-01-01 15:00:05+00:00
17,residents and caregivers at senior living facilities write about life during the pandemic — and trying to stay safe while facing the challenges of long-term isolation.,2021-01-01 16:00:06+00:00
18,"zakaria discusses “ten lessons for a post-pandemic world,” and margaret macmillan talks about “war: how conflict shaped us.”",2021-01-01 16:01:31+00:00
19,"a crisis looms in the pandemic’s wake: evictions that threaten to overwhelm schools, homeless shelters and food pantries.",2021-01-01 18:29:50+00:00
20,"if a second dose of one vaccine isn’t available, another may be substituted, according to the guidelines.",2021-01-01 20:43:17+00:00
21,"badly hit by the coronavirus, israel has distributed the first of two vaccine doses to more than 10 percent of its population. prime minister netanyahu is leading the charge, bolstering his own battered image along the way.",2021-01-01 20:44:01+00:00
