Word,Count
covid,1482
review,1080
uk,1007
new,821
england,520
up,449
first,425
vaccine,374
league,329
police,312
people,298
guardian,275
against,275
obituary,274
lockdown,270
johnson,259
australia,255
letters,255
best,255
biden,247
home,246
crisis,245
australian,234
win,229
government,228
world,226
life,222
tv,222
climate,220
euro,216
manchester,214
pandemic,206
boris,205
view,200
india,199
australias,195
city,194
still,185
report,183
plan,179
court,179
end,179
v,179
death,177
black,172
man,171
editorial,168
final,166
return,165
year,164
down,164
eu,163
family,163
deal,163
david,161
letter,159
rise,158
care,158
john,158
labour,156
cases,154
need,154
travel,152
london,150
british,149
finds,149
women,148
big,147
being,145
health,144
calls,144
help,144
study,143
call,142
tell,142
love,141
premier,140
told,138
inquiry,137
rules,136
united,136
plans,134
trump,134
under,134
most,134
record,132
face,132
change,131
work,130
war,129
case,128
global,128
last,127
set,126
despite,126
hit,125
shows,125
ban,125
race,124
country,124
west,123
test,123
workers,121
rights,121
want,121
fight,121
fans,120
long,120
morrison,120
show,120
risk,120
good,120
bill,119
britain,118
chelsea,118
super,118
second,117
house,117
trial,116
summer,116
englands,115
history,115
china,115
mps,114
during,114
open,113
would,113
france,113
made,113
news,111
jonathan,110
children,110
young,110
football,110
woman,110
top,109
prince,109
stop,109
warns,108
election,108
staff,108
wales,107
again,107
variant,106
high,106
attack,106
live,106
zealand,105
art,105
power,105
nsw,105
george,105
real,105
lost,105
vaccines,104
public,103
green,103
claims,103
did,102
violence,102
faces,101
aged,101
great,101
scott,100
tax,100
national,99
pay,99
cup,97
northern,96
champions,96
wont,95
office,95
restrictions,95
next,95
wins,94
nhs,94
season,94
astrazeneca,94
brexit,94
see,94
future,93
chief,93
french,93
tory,93
four,93
party,92
found,91
support,91
ireland,91
thing,91
since,90
observer,90
scotland,90
there,90
brief,90
abuse,89
experts,89
social,89
five,89
tonight,89
ever,89
match,89
minister,88
save,88
much,88
former,88
know,87
matt,86
south,86
game,86
bad,85
hope,85
deaths,84
joe,84
holiday,84
republicans,84
andy,84
ministers,84
use,84
system,84
accused,84
star,83
culture,83
quick,83
liverpool,83
days,83
school,83
womens,82
williams,82
media,82
give,82
battle,82
hits,82
diary,81
fire,81
law,81
corrections,80
surge,80
starmer,80
takes,80
european,79
english,79
food,79
white,79
readers,79
budget,79
keep,78
clarifications,78
left,78
job,78
team,78
murder,77
old,77
germany,77
six,77
list,76
legal,76
sydney,76
key,76
only,76
dies,76
hancock,76
claim,75
row,75
music,75
leave,75
de,75
recipe,74
never,74
politics,73
uks,73
cummings,73
talks,73
york,73
greensill,73
johnsons,73
trade,73
needs,73
online,72
action,72
australians,72
ben,72
hopes,72
leaders,72
where,72
emma,71
across,71
look,71
through,71
mail,71
sex,70
run,70
international,70
find,70
dead,70
leader,70
countries,70
beat,70
own,69
going,69
philip,69
urges,69
inside,69
without,69
become,69
sexual,69
urged,69
making,69
pm,68
schools,68
start,68
preview,68
story,68
jab,68
behind,68
andrew,68
britains,67
wave,67
film,67
data,67
rollout,67
homes,67
put,66
things,66
morning,66
book,66
state,66
cricket,66
coalition,66
free,66
really,66
weekend,66
working,66
voting,66
prize,66
cryptic,66
even,65
share,65
bidens,65
sales,64
michael,64
cost,64
better,64
briefing,64
chauvin,64
aid,64
line,63
group,63
let,63
protests,63
fashion,63
royal,63
talking,63
arsenal,63
players,63
vaccination,63
come,62
fiver,62
paul,62
stay,62
place,62
cut,62
other,62
firms,62
fear,62
feel,62
political,62
very,62
fears,62
act,61
vote,61
reports,61
red,61
olympics,61
policy,61
role,61
tour,61
gets,61
tokyo,61
makes,61
another,60
justice,60
business,60
away,60
israel,60
keir,60
cuts,60
america,60
coronavirus,60
bbc,60
tells,60
california,60
warn,59
double,59
human,59
olympic,59
officer,58
harry,58
james,58
bid,58
third,58
car,58
past,58
melbourne,58
scientists,58
records,58
move,58
tests,57
secret,57
simon,57
ive,57
threat,57
un,57
killed,57
foreign,57
mental,57
title,57
ready,57
around,56
far,56
lead,56
boost,56
loss,56
ahead,56
bank,56
used,55
lives,55
quarantine,55
peter,55
victory,55
lewis,55
head,55
air,55
play,55
small,55
little,55
wants,55
video,55
madrid,54
christian,54
getting,54
weeks,54
thousands,54
worlds,54
tories,54
living,54
water,54
safety,54
questions,54
chance,53
dog,53
martin,53
pressure,53
facebook,53
close,53
hold,53
scandal,53
floyd,53
books,53
fall,53
private,53
firm,53
force,52
which,52
jabs,52
barney,52
lions,52
amazon,52
victoria,52
drama,52
early,52
think,52
europe,52
energy,52
jones,52
federal,51
protest,51
reveals,51
given,51
economy,51
dominic,51
night,51
theres,51
mark,51
men,51
lack,51
scheme,50
industry,50
jobs,50
between,50
due,50
republican,50
summit,50
turn,50
stars,50
guide,50
killing,50
series,50
june,50
island,50
queensland,50
street,49
recovery,49
gas,49
housing,49
attacks,49
stage,49
push,49
americans,49
forced,49
bring,49
daniel,48
blood,48
space,48
offer,48
local,48
delay,48
target,48
hears,48
tech,48
boom,48
body,48
anger,48
enough,48
students,48
times,48
ronay,48
victims,48
major,47
festival,47
female,47
moon,47
county,47
miss,47
mean,47
citizens,47
greg,47
italy,47
perfect,47
months,47
movie,47
tottenham,47
gaza,46
union,46
families,46
indigenous,46
emissions,46
hard,46
richard,46
almost,46
indian,46
part,46
border,46
friends,46
wrong,46
zoe,46
harris,46
biggest,46
nations,46
lobbying,46
parents,46
money,46
thomas,45
road,45
american,45
domestic,45
age,45
fa,45
racism,45
labor,45
hear,45
town,45
prices,45
likely,45
nothing,45
reopening,45
demand,45
leicester,45
thats,44
apple,44
looks,44
horses,44
name,44
la,44
less,44
linked,44
shooting,44
positive,44
full,44
child,44
admits,44
championship,44
warning,44
concerns,44
light,44
collapse,44
president,44
hospital,44
alleged,44
games,44
challenge,44
funding,44
stephen,43
every,43
inflation,43
vaccinated,43
service,43
rape,43
capitol,43
taylor,43
changes,43
millions,43
latest,43
derek,43
sea,42
join,42
late,42
campaign,42
try,42
whats,42
heart,42
land,42
tackle,42
goes,42
states,42
failed,42
boss,42
dream,42
mp,42
canada,42
anthony,42
arrested,42
finally,42
manager,42
son,42
die,42
theatre,42
easing,42
press,42
freedom,42
wilson,41
moment,41
grand,41
many,41
taking,41
photo,41
elections,41
mass,41
chinese,41
became,41
urge,41
voters,41
groups,41
happy,41
changed,41
success,41
texas,41
north,41
outbreak,41
seen,41
reality,41
democrats,41
rate,41
